iter	Passed	Remaining
0	152	152399
1	155	77392
2	157	52241
3	159	39706
4	161	32137
5	163	27097
6	165	23451
7	167	20720
8	169	18639
9	170	16922
10	172	15512
11	174	14360
12	176	13383
13	178	12552
14	180	11828
15	182	11193
16	184	10659
17	186	10164
18	188	9722
19	190	9339
20	192	8976
21	194	8653
22	196	8342
23	198	8076
24	200	7820
25	202	7590
26	204	7366
27	206	7168
28	208	6984
29	210	6803
30	212	6644
31	214	6490
32	217	6373
33	219	6233
34	221	6106
35	223	5980
36	225	5864
37	227	5747
38	229	5650
39	231	5550
40	233	5467
41	235	5373
42	239	5336
43	243	5287
44	245	5215
45	248	5158
46	250	5077
47	252	5000
48	254	4934
49	255	4862
50	258	4803
51	260	4754
52	263	4702
53	264	4640
54	266	4580
55	268	4526
56	270	4469
57	271	4416
58	274	4373
59	276	4334
60	278	4291
61	280	4243
62	282	4194
63	284	4156
64	286	4114
65	288	4083
66	291	4058
67	294	4029
68	296	3995
69	297	3957
70	299	3919
71	301	3880
72	302	3846
73	304	3813
74	307	3796
75	310	3769
76	311	3739
77	313	3708
78	315	3678
79	317	3651
80	320	3631
81	323	3618
82	325	3595
83	326	3565
84	328	3536
85	330	3508
86	331	3480
87	333	3455
88	335	3433
89	338	3420
90	340	3396
91	341	3370
92	343	3347
93	344	3321
94	346	3296
95	347	3276
96	365	3406
97	368	3390
98	370	3372
99	372	3350
100	373	3328
101	375	3305
102	376	3282
103	378	3263
104	381	3247
105	383	3237
106	385	3218
107	387	3198
108	389	3180
109	390	3161
110	392	3144
111	395	3137
112	399	3132
113	401	3120
114	403	3102
115	404	3084
116	406	3065
117	407	3048
118	409	3034
119	412	3027
120	414	3012
121	416	2996
122	418	2980
123	420	2968
124	421	2952
125	423	2936
126	425	2922
127	427	2914
128	429	2902
129	431	2887
130	432	2871
131	434	2856
132	435	2842
133	437	2827
134	439	2815
135	441	2802
136	442	2787
137	444	2773
138	445	2759
139	446	2745
140	448	2732
141	449	2718
142	451	2703
143	452	2690
144	454	2682
145	456	2670
146	458	2659
147	459	2646
148	461	2634
149	462	2622
150	464	2610
151	465	2598
152	467	2587
